x, y
6.6192, 0.018309859154929577
6.6864, 0.05492957746478873
6.7344, 0.10985915492957746
6.7968, 0.2746478873239437
6.84, 0.5309859154929577
6.8736, 0.8422535211267606
6.912, 1.2816901408450705
6.936, 1.5746478873239436
6.9552, 1.9225352112676055
6.9984, 2.4901408450704223
7.0416, 2.9661971830985916
7.0752, 3.240845070422535
7.118399999999999, 3.5887323943661973
7.1616, 3.991549295774648
7.1952, 4.394366197183099
7.248, 4.8154929577464785
7.3248, 5.071830985915493
7.3584, 5.108450704225352
7.3919999999999995, 5.145070422535211
7.4448, 5.163380281690141
7.4928, 5.126760563380282
7.5408, 4.961971830985916
7.5888, 4.74225352112676
7.6464, 4.467605633802817
7.6895999999999995, 4.229577464788733
7.7424, 3.9
7.7904, 3.6070422535211266
7.8431999999999995, 3.259154929577465
7.9008, 2.9112676056338027
7.9584, 2.563380281690141
8.0064, 2.2704225352112677
8.0832, 1.8676056338028169
8.184, 1.4281690140845071
8.2704, 1.1352112676056338
8.3568, 0.8788732394366197
8.4816, 0.6225352112676056
8.568, 0.5309859154929577